model_id,scenario_id,fault,target_modality,fault_length,phase,macro_f1,micro_f1,masked_bce,macro_f1_fold_std,micro_f1_fold_std,masked_bce_fold_std,fold_count,seed_count_per_fold
B4,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,5,post,0.601188529274,0.710050282676,0.417778801474,0.0335906151192,0.0280042694024,0.0314860460429,5,3
B4,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,5,pre,0.601991860099,0.712139101685,0.414438956246,0.0385161681784,0.0254004966704,0.0273302794537,5,3
B4,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,15,fault,0.610078734282,0.725981198855,0.392067658995,0.0354618087241,0.0271773591704,0.0314719210109,5,3
B4,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,15,post,0.607809938314,0.728014116701,0.389816802158,0.0515631503302,0.025184602924,0.0287061777734,5,3
B4,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,15,pre,0.598298622178,0.725402193369,0.393134481846,0.0427863616578,0.0316263130727,0.0381959642376,5,3
B4,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,30,fault,0.593368931337,0.7397145729,0.375001798477,0.0432633220251,0.0278391384849,0.0373381093791,5,3
B4,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,30,post,0.609874471618,0.74341852749,0.376973083177,0.0456609418616,0.0348069566464,0.0447359386201,5,3
B4,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,30,pre,0.599804223899,0.739007206159,0.37705001413,0.0560238604181,0.0337853243725,0.0398409255663,5,3
B4,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,5,fault,0.538559903,0.649887801604,0.466553613946,0.038790423837,0.0236630805316,0.0264594832806,5,3
B4,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,5,post,0.601188529274,0.710050282676,0.417778801474,0.0335906151192,0.0280042694024,0.0314860460429,5,3
