model_id,fold,scenario_id,drop_modality,noisy_modality,gaussian_sigma,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,1,mixed.drop-phone_gyro.gaussian-location.sigma-2,phone_gyro,location,2,0.581018136039,0.674314663038,0.581523521634,0.134332864917,3
B4,1,mixed.drop-phone_gyro.gaussian-phone_acc.sigma-1,phone_gyro,phone_acc,1,0.595751244453,0.687568108264,0.594947694217,0.130084788052,3
B4,1,mixed.drop-phone_gyro.gaussian-phone_acc.sigma-2,phone_gyro,phone_acc,2,0.592104969328,0.685012517842,0.590454652472,0.131364946512,3
B4,1,mixed.drop-phone_gyro.gaussian-phone_state.sigma-1,phone_gyro,phone_state,1,0.559272365136,0.657902033711,0.555523813643,0.136413881468,3
B4,1,mixed.drop-phone_gyro.gaussian-phone_state.sigma-2,phone_gyro,phone_state,2,0.543530882183,0.64477045805,0.536854162776,0.140437735131,3
B4,1,mixed.drop-phone_gyro.gaussian-watch_acc.sigma-1,phone_gyro,watch_acc,1,0.584851570664,0.680826697747,0.584686279125,0.132583244637,3
B4,1,mixed.drop-phone_gyro.gaussian-watch_acc.sigma-2,phone_gyro,watch_acc,2,0.567736110807,0.672118011926,0.565496388441,0.13649977978,3
B4,1,mixed.drop-phone_state.gaussian-audio.sigma-1,phone_state,audio,1,0.53625100729,0.621684028988,0.534034128852,0.148412883804,3
B4,1,mixed.drop-phone_state.gaussian-audio.sigma-2,phone_state,audio,2,0.521709273101,0.605445141186,0.516370751271,0.154428076289,3
B4,1,mixed.drop-phone_state.gaussian-location.sigma-1,phone_state,location,1,0.561364975955,0.647551787446,0.556150244732,0.138954148522,3
B4,1,mixed.drop-phone_state.gaussian-location.sigma-2,phone_state,location,2,0.552996491542,0.643521426224,0.54547570591,0.14097370281,3
B4,1,mixed.drop-phone_state.gaussian-phone_acc.sigma-1,phone_state,phone_acc,1,0.568673154448,0.655987519435,0.565976954526,0.136117769038,3
B4,1,mixed.drop-phone_state.gaussian-phone_acc.sigma-2,phone_state,phone_acc,2,0.563652670287,0.651829504831,0.559095287378,0.13812435112,3
B4,1,mixed.drop-phone_state.gaussian-phone_gyro.sigma-1,phone_state,phone_gyro,1,0.571383434607,0.658112285396,0.569650022834,0.135079557584,3
B4,1,mixed.drop-phone_state.gaussian-phone_gyro.sigma-2,phone_state,phone_gyro,2,0.568635133719,0.654168508278,0.566271115405,0.137019792546,3
B4,1,mixed.drop-phone_state.gaussian-watch_acc.sigma-1,phone_state,watch_acc,1,0.549842043494,0.638788525864,0.548013870754,0.143009197761,3
B4,1,mixed.drop-phone_state.gaussian-watch_acc.sigma-2,phone_state,watch_acc,2,0.529950743431,0.624833615705,0.524548927044,0.148641278722,3
B4,1,mixed.drop-watch_acc.gaussian-audio.sigma-1,watch_acc,audio,1,0.528803767328,0.643419654318,0.528075143159,0.14707711637,3
B4,1,mixed.drop-watch_acc.gaussian-audio.sigma-2,watch_acc,audio,2,0.517394696219,0.631978393356,0.51601804162,0.151246111738,3
B4,1,mixed.drop-watch_acc.gaussian-location.sigma-1,watch_acc,location,1,0.552753885395,0.663394059455,0.554165702777,0.140253505918,3
B4,1,mixed.drop-watch_acc.gaussian-location.sigma-2,watch_acc,location,2,0.543887936598,0.658791936327,0.544048676478,0.142629729469,3
B4,1,mixed.drop-watch_acc.gaussian-phone_acc.sigma-1,watch_acc,phone_acc,1,0.560372558337,0.672908285084,0.562903039683,0.137073881344,3
B4,1,mixed.drop-watch_acc.gaussian-phone_acc.sigma-2,watch_acc,phone_acc,2,0.555308804751,0.670204338723,0.556075788159,0.138601631128,3
B4,1,mixed.drop-watch_acc.gaussian-phone_gyro.sigma-1,watch_acc,phone_gyro,1,0.563577839003,0.674858475714,0.568736584143,0.135741237046,3
B4,1,mixed.drop-watch_acc.gaussian-phone_gyro.sigma-2,watch_acc,phone_gyro,2,0.560981908281,0.672069461246,0.564186976084,0.137699396457,3
B4,1,mixed.drop-watch_acc.gaussian-phone_state.sigma-1,watch_acc,phone_state,1,0.502368801856,0.628064315069,0.504308277387,0.148657908058,3
B4,1,mixed.drop-watch_acc.gaussian-phone_state.sigma-2,watch_acc,phone_state,2,0.479727870845,0.61045803118,0.480102687827,0.154220416021,3
B4,2,mixed.drop-audio.gaussian-location.sigma-1,audio,location,1,0.574894199521,0.674239442831,0.572545330876,0.14597667074,3
B4,2,mixed.drop-audio.gaussian-location.sigma-2,audio,location,2,0.56551827604,0.671155098827,0.563351631813,0.146911803265,3
B4,2,mixed.drop-audio.gaussian-phone_acc.sigma-1,audio,phone_acc,1,0.588004205167,0.687619671118,0.591716938636,0.139398214672,3
B4,2,mixed.drop-audio.gaussian-phone_acc.sigma-2,audio,phone_acc,2,0.580439924452,0.681364144601,0.583600290595,0.142090081383,3
B4,2,mixed.drop-audio.gaussian-phone_gyro.sigma-1,audio,phone_gyro,1,0.591745761412,0.690792166089,0.595563890342,0.13878619537,3
B4,2,mixed.drop-audio.gaussian-phone_gyro.sigma-2,audio,phone_gyro,2,0.586236638289,0.687111173848,0.589963922493,0.140627598018,3
B4,2,mixed.drop-audio.gaussian-phone_state.sigma-1,audio,phone_state,1,0.535340623695,0.636963221739,0.528753729335,0.158899144565,3
B4,2,mixed.drop-audio.gaussian-phone_state.sigma-2,audio,phone_state,2,0.508205409821,0.611001413745,0.497758866384,0.169047749428,3
B4,2,mixed.drop-audio.gaussian-watch_acc.sigma-1,audio,watch_acc,1,0.575643139308,0.672904233216,0.579439762316,0.145671444159,3
B4,2,mixed.drop-audio.gaussian-watch_acc.sigma-2,audio,watch_acc,2,0.557504910053,0.660842738835,0.55740854931,0.151117538401,3
B4,2,mixed.drop-location.gaussian-audio.sigma-1,location,audio,1,0.560691826356,0.681040409218,0.562928604157,0.141179598258,3
B4,2,mixed.drop-location.gaussian-audio.sigma-2,location,audio,2,0.552222519289,0.673023195907,0.552255357154,0.144728679194,3
B4,2,mixed.drop-location.gaussian-phone_acc.sigma-1,location,phone_acc,1,0.570122743869,0.693507587851,0.584209635489,0.13594946864,3
B4,2,mixed.drop-location.gaussian-phone_acc.sigma-2,location,phone_acc,2,0.560032456677,0.688957633681,0.575745903541,0.137956934183,3
B4,2,mixed.drop-location.gaussian-phone_gyro.sigma-1,location,phone_gyro,1,0.579824205473,0.696791535168,0.589025789556,0.134775227378,3
B4,2,mixed.drop-location.gaussian-phone_gyro.sigma-2,location,phone_gyro,2,0.572412805241,0.693652458698,0.583655559083,0.136435567692,3
B4,2,mixed.drop-location.gaussian-phone_state.sigma-1,location,phone_state,1,0.532095506779,0.665269419855,0.53425918404,0.145235943725,3
B4,2,mixed.drop-location.gaussian-phone_state.sigma-2,location,phone_state,2,0.512442299833,0.648718795251,0.510032876565,0.151137178753,3
B4,2,mixed.drop-location.gaussian-watch_acc.sigma-1,location,watch_acc,1,0.566441128224,0.685506577856,0.573081826895,0.138874583561,3
B4,2,mixed.drop-location.gaussian-watch_acc.sigma-2,location,watch_acc,2,0.547894633984,0.673943642148,0.550117965372,0.144134258801,3
