model_id,fold,scenario_id,available_count,available_modalities,drop_modalities,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,1,mask.000110,2,location|audio,phone_acc|phone_gyro|watch_acc|phone_state,0.413142640901,0.603247407287,0.439371877224,0.152865311279,3
B4,1,mask.000111,3,location|audio|phone_state,phone_acc|phone_gyro|watch_acc,0.478276632852,0.654111579471,0.496499362666,0.141976559216,3
B4,1,mask.001000,1,watch_acc,phone_acc|phone_gyro|location|audio|phone_state,0.402115760518,0.540306623321,0.435374433717,0.189823903698,3
B4,1,mask.001001,2,watch_acc|phone_state,phone_acc|phone_gyro|location|audio,0.526410490123,0.622609310983,0.546802986092,0.166907668084,3
B4,1,mask.001010,2,watch_acc|audio,phone_acc|phone_gyro|location|phone_state,0.474796815061,0.627063399162,0.491309157237,0.146012275483,3
B4,1,mask.001011,3,watch_acc|audio|phone_state,phone_acc|phone_gyro|location,0.547742182876,0.663612971867,0.559567808052,0.137964950785,3
B4,1,mask.001100,2,watch_acc|location,phone_acc|phone_gyro|audio|phone_state,0.455900099604,0.564334778488,0.472269297244,0.17935937171,3
B4,1,mask.001101,3,watch_acc|location|phone_state,phone_acc|phone_gyro|audio,0.545891916865,0.629322105901,0.542005927617,0.15248914017,3
B4,1,mask.001110,3,watch_acc|location|audio,phone_acc|phone_gyro|phone_state,0.51031219139,0.627587737064,0.523395376774,0.144392585053,3
B4,1,mask.001111,4,watch_acc|location|audio|phone_state,phone_acc|phone_gyro,0.565295805166,0.672334173717,0.569275253465,0.133662000806,3
B4,1,mask.010000,1,phone_gyro,phone_acc|watch_acc|location|audio|phone_state,0.255882243583,0.486362585426,0.318836341502,0.203375113659,3
B4,1,mask.010001,2,phone_gyro|phone_state,phone_acc|watch_acc|location|audio,0.435576756876,0.592173404418,0.464035794164,0.191251234871,3
B4,1,mask.010010,2,phone_gyro|audio,phone_acc|watch_acc|location|phone_state,0.410771885126,0.599059184,0.423262919926,0.155012849924,3
B4,1,mask.010011,3,phone_gyro|audio|phone_state,phone_acc|watch_acc|location,0.488944659805,0.645355279434,0.502371084968,0.14964315726,3
B4,1,mask.010100,2,phone_gyro|location,phone_acc|watch_acc|audio|phone_state,0.370981644591,0.52502976424,0.408189830963,0.188590847901,3
B4,1,mask.010101,3,phone_gyro|location|phone_state,phone_acc|watch_acc|audio,0.494700214901,0.615156108502,0.488620271443,0.160759509125,3
B4,1,mask.010110,3,phone_gyro|location|audio,phone_acc|watch_acc|phone_state,0.455669219356,0.606531010909,0.484794406164,0.149258147272,3
B4,1,mask.010111,4,phone_gyro|location|audio|phone_state,phone_acc|watch_acc,0.517448905726,0.65495653191,0.530992132207,0.140671017071,3
B4,1,mask.011000,2,phone_gyro|watch_acc,phone_acc|location|audio|phone_state,0.413741938702,0.542108453739,0.444218436407,0.187331171035,3
B4,1,mask.011001,3,phone_gyro|watch_acc|phone_state,phone_acc|location|audio,0.530590574151,0.622385910846,0.551463673206,0.163979906059,3
