repeat,p2_macro_f1_seed_then_fold_mean,p_macro_f1_seed_then_fold_mean,delta_p2_minus_p
196,0.579048729204,0.577647484992,0.00140124421285
197,0.546833457999,0.545875627801,0.000957830197789
198,0.594183606336,0.59310971031,0.00107389602605
199,0.586638685484,0.585585496906,0.00105318857728
200,0.586303217487,0.584946312022,0.00135690546423
201,0.555702929565,0.556712981875,-0.00101005231032
202,0.575367325259,0.569329619231,0.00603770602785
203,0.567560188807,0.568099613482,-0.000539424675497
204,0.577714215565,0.576228306557,0.00148590900838
205,0.585018086691,0.582262704905,0.00275538178649
206,0.562752117101,0.563642872049,-0.000890754948075
207,0.562863362274,0.561309718397,0.00155364387701
208,0.57658642809,0.579885431993,-0.00329900390361
209,0.573767085676,0.573075932877,0.000691152799171
210,0.564461333473,0.561799579653,0.00266175382018
211,0.568845022423,0.569992877563,-0.00114785514059
212,0.578859238183,0.576833339992,0.0020258981904
213,0.564904557807,0.563524987755,0.00137957005211
214,0.572749244524,0.571453917374,0.00129532714922
215,0.566776354112,0.566700819472,7.55346394902e-05
216,0.560891037608,0.56106865204,-0.000177614432561
217,0.562744074062,0.56140165556,0.00134241850196
218,0.554201255374,0.553633246191,0.000568009183424
219,0.561188082815,0.559363021695,0.00182506112022
220,0.59142152326,0.588588902631,0.00283262062889
221,0.557654817112,0.555982352043,0.00167246506889
222,0.56571098636,0.563872879247,0.0018381071123
223,0.545200847322,0.543415148473,0.00178569884938
224,0.588399525583,0.587680164565,0.000719361018073
225,0.570959749478,0.571670654266,-0.000710904788349
226,0.56317025119,0.561262128186,0.00190812300447
227,0.546230417752,0.545749650975,0.000480766777679
228,0.554766055214,0.553206295954,0.00155975925917
229,0.566195998055,0.56546105483,0.000734943225602
230,0.561265822732,0.556587862995,0.00467795973725
231,0.575213383714,0.572071929202,0.00314145451227
232,0.578101267293,0.578604451474,-0.000503184181068
233,0.592898767314,0.591121493766,0.00177727354838
234,0.561854436469,0.560652376444,0.00120206002474
235,0.572795077403,0.571111220981,0.00168385642218
236,0.576853524073,0.576704654138,0.000148869935156
237,0.603990423745,0.602329808978,0.00166061476706
238,0.558111865503,0.556781842086,0.00133002341684
