model_id,fold,scenario_id,fault,target_modality,fault_length,phase,macro_f1,micro_f1,masked_bce,seed_count
B4,0,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,30,fault,0.494403689605,0.710366717688,0.376585783974,3
B4,0,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,30,post,0.588928536063,0.799966827554,0.304315070642,3
B4,0,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,30,pre,0.576682939595,0.791446456787,0.316900010338,3
B4,0,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,5,fault,0.539950085024,0.71807797092,0.399038439048,3
B4,0,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,5,post,0.565739339968,0.743809260532,0.368684114016,3
B4,0,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,5,pre,0.573845489271,0.745770563754,0.368588161887,3
B4,0,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,15,fault,0.553559782229,0.738963874322,0.367470322691,3
B4,0,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,15,post,0.57287564873,0.765993524624,0.342439074176,3
B4,0,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,15,pre,0.588492408188,0.773145895668,0.325344866864,3
B4,0,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,30,fault,0.537578365772,0.758879618195,0.344305478298,3
B4,0,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,30,post,0.588928536063,0.799966827554,0.304315070642,3
B4,0,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,30,pre,0.576682939595,0.791446456787,0.316900010338,3
B4,1,persistent.drop.audio,drop,audio,5,fault,0.571015377663,0.651178195079,0.489690018545,3
B4,1,persistent.drop.audio,drop,audio,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.drop.audio,drop,audio,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.drop.audio,drop,audio,15,fault,0.571838330189,0.668930253588,0.485757122336,3
B4,1,persistent.drop.audio,drop,audio,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.drop.audio,drop,audio,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.drop.audio,drop,audio,30,fault,0.532969397883,0.670066874063,0.494602927504,3
B4,1,persistent.drop.audio,drop,audio,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.drop.audio,drop,audio,30,pre,0.545981930661,0.697429246559,0.413221164233,3
B4,1,persistent.drop.location,drop,location,5,fault,0.573483106575,0.676809886934,0.420382246311,3
B4,1,persistent.drop.location,drop,location,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.drop.location,drop,location,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.drop.location,drop,location,15,fault,0.56444969488,0.693467356032,0.387079214885,3
B4,1,persistent.drop.location,drop,location,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.drop.location,drop,location,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.drop.location,drop,location,30,fault,0.548430128968,0.714968300434,0.361645990631,3
B4,1,persistent.drop.location,drop,location,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.drop.location,drop,location,30,pre,0.545981930661,0.697429246559,0.413221164233,3
B4,1,persistent.drop.phone_acc,drop,phone_acc,5,fault,0.569774254803,0.671799719533,0.447318720795,3
B4,1,persistent.drop.phone_acc,drop,phone_acc,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.drop.phone_acc,drop,phone_acc,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.drop.phone_acc,drop,phone_acc,15,fault,0.558152343466,0.683741807257,0.447664043995,3
B4,1,persistent.drop.phone_acc,drop,phone_acc,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.drop.phone_acc,drop,phone_acc,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.drop.phone_acc,drop,phone_acc,30,fault,0.531642408395,0.694624665305,0.439636022005,3
B4,1,persistent.drop.phone_acc,drop,phone_acc,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.drop.phone_acc,drop,phone_acc,30,pre,0.545981930661,0.697429246559,0.413221164233,3
