model_id,scenario_id,available_count,available_modalities,drop_modalities,macro_f1,micro_f1,mean_average_precision,brier_score,macro_f1_fold_std,micro_f1_fold_std,mean_average_precision_fold_std,brier_score_fold_std,fold_count,seed_count_per_fold
B5,mask.010101,3,phone_gyro|location|phone_state,phone_acc|watch_acc|audio,0.528080721588,0.65187360109,0.518744618079,0.151600021613,0.0312360776836,0.0295519050183,0.0390637637612,0.00927616367759,5,3
B5,mask.010110,3,phone_gyro|location|audio,phone_acc|watch_acc|phone_state,0.522329793351,0.638514268509,0.516157689195,0.149707255479,0.034563620585,0.0223142915959,0.0338853969031,0.00511508421348,5,3
B5,mask.010111,4,phone_gyro|location|audio|phone_state,phone_acc|watch_acc,0.555525764082,0.68082533772,0.556015777885,0.136075996562,0.0253709848589,0.0355858297521,0.0270795180144,0.0107947611217,5,3
B5,mask.011000,2,phone_gyro|watch_acc,phone_acc|location|audio|phone_state,0.460196106581,0.57234010864,0.465881123193,0.180925470483,0.0235285773784,0.0140344242272,0.0378671733614,0.00828299188382,5,3
B5,mask.011001,3,phone_gyro|watch_acc|phone_state,phone_acc|location|audio,0.549169709569,0.659864698498,0.550126377919,0.145772793467,0.0313656336162,0.01494419378,0.0375284823753,0.00453092273691,5,3
B5,mask.011010,3,phone_gyro|watch_acc|audio,phone_acc|location|phone_state,0.534194005326,0.654007810035,0.539176662001,0.142860929854,0.0275011769345,0.0228171500865,0.0422607006748,0.00450495232608,5,3
B5,mask.011011,4,phone_gyro|watch_acc|audio|phone_state,phone_acc|location,0.574535930439,0.689827915161,0.585903170029,0.130272443958,0.0246778350031,0.0247194438546,0.0429749987304,0.0022123289853,5,3
B5,mask.011100,3,phone_gyro|watch_acc|location,phone_acc|audio|phone_state,0.52054636129,0.610906345433,0.518274533485,0.163913615437,0.0261489750944,0.0240540765163,0.0438636712288,0.00336536474687,5,3
B5,mask.011101,4,phone_gyro|watch_acc|location|phone_state,phone_acc|audio,0.578911340886,0.678066949659,0.576757043346,0.138495921645,0.0315346698074,0.0264787474695,0.03403523964,0.00720996110289,5,3
B5,mask.011110,4,phone_gyro|watch_acc|location|audio,phone_acc|phone_state,0.571862945617,0.669774892842,0.570623441612,0.137205529021,0.0289630052988,0.0275770954855,0.034905266523,0.00477075919239,5,3
B5,mask.011111,5,phone_gyro|watch_acc|location|audio|phone_state,phone_acc,0.599566363844,0.701984076432,0.602854555554,0.126516014174,0.023641361168,0.0314987127553,0.028185206221,0.00815083381209,5,3
B5,mask.100000,1,phone_acc,phone_gyro|watch_acc|location|audio|phone_state,0.379249565319,0.499119027389,0.37453063143,0.216057834143,0.0234752729243,0.0346602202316,0.0267287196213,0.0149928446948,5,3
B5,mask.100001,2,phone_acc|phone_state,phone_gyro|watch_acc|location|audio,0.49519634752,0.635299546859,0.48194003088,0.160099186251,0.0276249443444,0.0292103351566,0.0310397805752,0.0102958172706,5,3
B5,mask.100010,2,phone_acc|audio,phone_gyro|watch_acc|location|phone_state,0.480376447067,0.619601366194,0.474596615892,0.159114227134,0.0208478657261,0.0233982668707,0.029190108205,0.00468413606085,5,3
B5,mask.100011,3,phone_acc|audio|phone_state,phone_gyro|watch_acc|location,0.527164495408,0.668398130264,0.530242099751,0.141671512601,0.0228456312995,0.0325967616861,0.0308962639175,0.00700259894664,5,3
B5,mask.100100,2,phone_acc|location,phone_gyro|watch_acc|audio|phone_state,0.456858678494,0.559633127533,0.449696195557,0.186265586218,0.0320588258626,0.0411546139462,0.0415759585646,0.0145386458017,5,3
B5,mask.100101,3,phone_acc|location|phone_state,phone_gyro|watch_acc|audio,0.530125478453,0.652608706121,0.521575832578,0.151555587093,0.032646509,0.0324352095808,0.0349975346543,0.011945573368,5,3
B5,mask.100110,3,phone_acc|location|audio,phone_gyro|watch_acc|phone_state,0.523739153914,0.636922716301,0.516565184382,0.151970690392,0.0236333878369,0.0285140964211,0.028191559998,0.00845167246342,5,3
B5,mask.100111,4,phone_acc|location|audio|phone_state,phone_gyro|watch_acc,0.554518097612,0.67965352495,0.557482055434,0.137027802592,0.0199210204107,0.0352990193461,0.0227709765308,0.0109613214826,5,3
B5,mask.101000,2,phone_acc|watch_acc,phone_gyro|location|audio|phone_state,0.485364072173,0.585253525109,0.493378788491,0.175279453733,0.0322918490811,0.0312970971512,0.0444291104354,0.0131658023775,5,3
B5,mask.101001,3,phone_acc|watch_acc|phone_state,phone_gyro|location|audio,0.557422396405,0.663931449382,0.561366058037,0.144402453364,0.0367885476383,0.0200330496221,0.042447827679,0.0082202934892,5,3
B5,mask.101010,3,phone_acc|watch_acc|audio,phone_gyro|location|phone_state,0.548828692825,0.656131673565,0.55468335742,0.143046237178,0.0252356245106,0.0222936008565,0.0433296915707,0.00395628206451,5,3
B5,mask.101011,4,phone_acc|watch_acc|audio|phone_state,phone_gyro|location,0.581896192915,0.690965159062,0.593275524352,0.130830255451,0.0283213926439,0.0250582340986,0.0437686857937,0.00468120152103,5,3
B5,mask.101100,3,phone_acc|watch_acc|location,phone_gyro|audio|phone_state,0.524799208997,0.614105267239,0.530499986061,0.161975289123,0.0362870528588,0.0417503136602,0.0453951429818,0.015382773598,5,3
B5,mask.101101,4,phone_acc|watch_acc|location|phone_state,phone_gyro|audio,0.579090460883,0.677889800545,0.58199173945,0.138564475058,0.0362701209895,0.031246168584,0.0329615161694,0.0107978983543,5,3
B5,mask.101110,4,phone_acc|watch_acc|location|audio,phone_gyro|phone_state,0.574570496606,0.667683403501,0.576280881463,0.138643719921,0.032373861521,0.0311369746931,0.0326415154782,0.00848511027119,5,3
B5,mask.101111,5,phone_acc|watch_acc|location|audio|phone_state,phone_gyro,0.59973150957,0.700855090495,0.606467252121,0.127478845558,0.0249395397164,0.031534875592,0.0271484417827,0.00897083374716,5,3
B5,mask.110000,2,phone_acc|phone_gyro,watch_acc|location|audio|phone_state,0.404829899657,0.522150553222,0.40218254425,0.203095531069,0.025529839312,0.0408075118851,0.0251571501279,0.0126846242835,5,3
B5,mask.110001,3,phone_acc|phone_gyro|phone_state,watch_acc|location|audio,0.506910182232,0.641348763878,0.506963411107,0.155594387361,0.0238888837705,0.0324167689914,0.031197416696,0.00905200365706,5,3
B5,mask.110010,3,phone_acc|phone_gyro|audio,watch_acc|location|phone_state,0.490072925457,0.623611703345,0.496881983246,0.157402050577,0.0228494551798,0.023588084155,0.0287843716892,0.00567376862745,5,3
B5,mask.110011,4,phone_acc|phone_gyro|audio|phone_state,watch_acc|location,0.53832768134,0.673099677785,0.551217768626,0.139708017271,0.0204443077171,0.0343679086605,0.0318109404506,0.00650169775835,5,3
B5,mask.110100,3,phone_acc|phone_gyro|location,watch_acc|audio|phone_state,0.477185074229,0.568228078052,0.468987555674,0.183252055673,0.0249075505685,0.0352950701993,0.041522096313,0.0118154561259,5,3
B5,mask.110101,4,phone_acc|phone_gyro|location|phone_state,watch_acc|audio,0.547344030867,0.659080454986,0.544769163274,0.148928530811,0.0310179673178,0.0320147456998,0.0345592145097,0.0107048934611,5,3
B5,mask.110110,4,phone_acc|phone_gyro|location|audio,watch_acc|phone_state,0.538294720434,0.642063995592,0.53650335735,0.150988271616,0.026398046263,0.0271935218591,0.030130717692,0.00733102587526,5,3
B5,mask.110111,5,phone_acc|phone_gyro|location|audio|phone_state,watch_acc,0.571543099771,0.685403337398,0.576272194126,0.135679496044,0.022136833457,0.0345701850373,0.0243523565979,0.0101177970211,5,3
B5,mask.111000,3,phone_acc|phone_gyro|watch_acc,location|audio|phone_state,0.491571076858,0.587312708127,0.498349205997,0.173455244626,0.0248097671916,0.0253359759205,0.038110525091,0.00981436059163,5,3
B5,mask.111001,4,phone_acc|phone_gyro|watch_acc|phone_state,location|audio,0.563642310422,0.665411174707,0.571116583302,0.142962198893,0.0308231595505,0.0211000777623,0.0371684551456,0.00675674991101,5,3
B5,mask.111010,4,phone_acc|phone_gyro|watch_acc|audio,location|phone_state,0.551815235245,0.65512998753,0.560943036436,0.143396418506,0.0242663275398,0.0206284680753,0.0411862461547,0.00409570458533,5,3
B5,mask.111011,5,phone_acc|phone_gyro|watch_acc|audio|phone_state,location,0.586642003807,0.691830321689,0.601800778928,0.1303112959,0.0234546217024,0.0273288234743,0.0396949130798,0.00408835846553,5,3
B5,mask.111100,4,phone_acc|phone_gyro|watch_acc|location,audio|phone_state,0.532979145095,0.616274721229,0.536028300336,0.161707289146,0.0311197677578,0.0350845243791,0.0432330600033,0.0115409436793,5,3
B5,mask.111101,5,phone_acc|phone_gyro|watch_acc|location|phone_state,audio,0.587616658879,0.680379638797,0.590873325767,0.137665861844,0.0335368306021,0.0304067566961,0.030546761706,0.00946883688382,5,3
B5,mask.111110,5,phone_acc|phone_gyro|watch_acc|location|audio,phone_state,0.579347335547,0.669056453617,0.582759844036,0.138868476382,0.0314901167164,0.028929894895,0.031893191585,0.00650616124603,5,3
B5,mask.111111,6,phone_acc|phone_gyro|watch_acc|location|audio|phone_state,,0.606955572483,0.702743227076,0.613984694327,0.127185868331,0.0234905910448,0.0316270196335,0.0250732663826,0.00806947832389,5,3
P,mask.000001,1,phone_state,phone_acc|phone_gyro|watch_acc|location|audio,0.428706802591,0.603997349594,0.421904418391,0.176722781103,0.0229057236928,0.0339862805365,0.0236115313236,0.007301500775,5,3
P,mask.000010,1,audio,phone_acc|phone_gyro|watch_acc|location|phone_state,0.404575527964,0.598037371781,0.400895039197,0.164294752333,0.0346421065733,0.0227251121147,0.0324520546812,0.00736909417947,5,3
P,mask.000011,2,audio|phone_state,phone_acc|phone_gyro|watch_acc|location,0.468449434882,0.649106581779,0.473241659503,0.147821836785,0.022401278936,0.0292089673831,0.0327585925365,0.00396148634963,5,3
P,mask.000100,1,location,phone_acc|phone_gyro|watch_acc|audio|phone_state,0.379557581451,0.528285608992,0.374544432833,0.193446144008,0.0279936207866,0.0208253538165,0.0425837191461,0.00848964598153,5,3
P,mask.000101,2,location|phone_state,phone_acc|phone_gyro|watch_acc|audio,0.474465929539,0.630634216941,0.469195229039,0.160034773498,0.0282348855683,0.0314906930294,0.0355095828925,0.010966415825,5,3
P,mask.000110,2,location|audio,phone_acc|phone_gyro|watch_acc|phone_state,0.470788769736,0.627806865901,0.463592512784,0.152297364009,0.0289394990262,0.0259288414176,0.0346138810137,0.00840309091047,5,3
P,mask.000111,3,location|audio|phone_state,phone_acc|phone_gyro|watch_acc,0.504301205693,0.667188902602,0.509229023512,0.140599833469,0.0168256895757,0.0330676045091,0.0268420816056,0.00985722368099,5,3
P,mask.001000,1,watch_acc,phone_acc|phone_gyro|location|audio|phone_state,0.434759060439,0.563946458123,0.451817657368,0.185191262353,0.029721802667,0.0187137990997,0.0393229869996,0.0067397576153,5,3
P,mask.001001,2,watch_acc|phone_state,phone_acc|phone_gyro|location|audio,0.533845716182,0.652500743994,0.534178769871,0.150382165753,0.0387026821123,0.0204101712522,0.0458415480436,0.00614120451237,5,3
P,mask.001010,2,watch_acc|audio,phone_acc|phone_gyro|location|phone_state,0.516591295408,0.652905737345,0.520211157478,0.143126130311,0.0293761149647,0.0184904880607,0.0416621506037,0.00409330027301,5,3
P,mask.001011,3,watch_acc|audio|phone_state,phone_acc|phone_gyro|location,0.556126711915,0.68283207729,0.565247266326,0.13277976235,0.0357992193908,0.0225015429427,0.0484514354018,0.00316794458367,5,3
P,mask.001100,2,watch_acc|location,phone_acc|phone_gyro|audio|phone_state,0.506876627266,0.609166463498,0.50659379574,0.164752672366,0.0280318607224,0.0306979231036,0.0443920286051,0.00866362566186,5,3
P,mask.001101,3,watch_acc|location|phone_state,phone_acc|phone_gyro|audio,0.560166243721,0.671024542127,0.56019061776,0.141271170619,0.0334334997191,0.0292489239264,0.0393988313033,0.00941144463893,5,3
P,mask.001110,3,watch_acc|location|audio,phone_acc|phone_gyro|phone_state,0.558055351338,0.668293278456,0.556266200621,0.13714523221,0.026298936897,0.0299067639825,0.0348117132456,0.00783759335429,5,3
P,mask.001111,4,watch_acc|location|audio|phone_state,phone_acc|phone_gyro,0.578350448549,0.696002183172,0.583995655662,0.128301581223,0.0269450188862,0.0305870478219,0.0338011600441,0.00898940263456,5,3
P,mask.010000,1,phone_gyro,phone_acc|watch_acc|location|audio|phone_state,0.344931931156,0.489291255657,0.34387714612,0.214929943464,0.0283859936806,0.0486912973227,0.0159289468319,0.0146888238301,5,3
P,mask.010001,2,phone_gyro|phone_state,phone_acc|watch_acc|location|audio,0.483325231887,0.625064506024,0.472872787767,0.163933857845,0.0274967875035,0.0340404975103,0.0335369107574,0.00855595798041,5,3
P,mask.010010,2,phone_gyro|audio,phone_acc|watch_acc|location|phone_state,0.453494369964,0.615455296595,0.455214841751,0.157089949612,0.0300402191564,0.0240038525059,0.0321352682079,0.00651737231163,5,3
P,mask.010011,3,phone_gyro|audio|phone_state,phone_acc|watch_acc|location,0.51242684063,0.663447193563,0.516183694095,0.142696476142,0.0248508532688,0.0304078449424,0.035664201509,0.00343791744738,5,3
P,mask.010100,2,phone_gyro|location,phone_acc|watch_acc|audio|phone_state,0.455125223708,0.552920121287,0.440779361507,0.184505091388,0.0269947638479,0.0211937665947,0.0400051543959,0.00520953951062,5,3
P,mask.010101,3,phone_gyro|location|phone_state,phone_acc|watch_acc|audio,0.525049939148,0.64809701443,0.517824710139,0.153348926215,0.0353421723727,0.0328253443876,0.0425166551065,0.00990179875188,5,3
P,mask.010110,3,phone_gyro|location|audio,phone_acc|watch_acc|phone_state,0.517472402152,0.640642514461,0.513154950154,0.148560872556,0.0349250806213,0.0251933469388,0.0369463383792,0.00492230607123,5,3
P,mask.010111,4,phone_gyro|location|audio|phone_state,phone_acc|watch_acc,0.546164791254,0.679396239654,0.549005988836,0.137289709212,0.0272476162108,0.0326666011965,0.0318700649242,0.00862811578624,5,3
P,mask.011000,2,phone_gyro|watch_acc,phone_acc|location|audio|phone_state,0.464277805576,0.577947417007,0.470339397993,0.17820887267,0.019794424296,0.0202622595457,0.0339753083886,0.00745224521203,5,3
P,mask.011001,3,phone_gyro|watch_acc|phone_state,phone_acc|location|audio,0.55093167934,0.657771583275,0.552702480138,0.146817744331,0.0339127234351,0.0227776113497,0.0404801327471,0.00578177183303,5,3
P,mask.011010,3,phone_gyro|watch_acc|audio,phone_acc|location|phone_state,0.532441330231,0.658074702352,0.539137586796,0.141340476292,0.0282040660856,0.0222185185612,0.0410321291033,0.00480146444981,5,3
P,mask.011011,4,phone_gyro|watch_acc|audio|phone_state,phone_acc|location,0.571667771056,0.688097914722,0.582703004096,0.13116565451,0.0323792106652,0.0241716201117,0.0441954416917,0.00264902941672,5,3
P,mask.011100,3,phone_gyro|watch_acc|location,phone_acc|audio|phone_state,0.525282425612,0.615998288664,0.521305420018,0.161994095354,0.0228963847353,0.0286639769172,0.0387668255693,0.00376548488233,5,3
P,mask.011101,4,phone_gyro|watch_acc|location|phone_state,phone_acc|audio,0.577602130068,0.676957316033,0.576592930482,0.138925592583,0.0325826992151,0.0293855295003,0.0356341670612,0.00828176754474,5,3
P,mask.011110,4,phone_gyro|watch_acc|location|audio,phone_acc|phone_state,0.572051615769,0.673071309568,0.57122319412,0.135978178893,0.0249347834904,0.0289295743599,0.0336218727093,0.00514176756105,5,3
