selector,feature,unit_count,coefficient_mean,coefficient_std,coefficient_abs_mean,positive_fraction,negative_fraction,sign_agreement
task_confidence_full,label_threshold_margin::OR_exercise,15,-0.07862954586563246,0.187182323186849,0.17306283035603037,0.3333333333333333,0.6666666666666666,0.6666666666666666
task_confidence_full,label_threshold_margin::OR_indoors,15,0.16804400543963274,0.20400534868272088,0.19044211471577654,0.8666666666666667,0.13333333333333333,0.8666666666666667
task_confidence_full,label_threshold_margin::OR_outside,15,0.0006028583045929645,0.18120802881999215,0.14034269068274285,0.4666666666666667,0.5333333333333333,0.5333333333333333
task_confidence_full,label_threshold_margin::OR_standing,15,-0.18755121536090105,0.23875025860640067,0.2669331355779337,0.2,0.8,0.8
task_confidence_full,label_threshold_margin::SITTING,15,-0.0323668484283371,0.13243137780758915,0.09930045158041352,0.3333333333333333,0.6666666666666666,0.6666666666666666
task_confidence_full,label_threshold_margin::SLEEPING,15,-0.24569380742203284,0.16801467855614027,0.24569380742203284,0.0,1.0,1.0
task_confidence_full,label_threshold_margin::TALKING,15,-0.044573951890465646,0.34449033306808224,0.2830871986786558,0.6,0.4,0.6
task_confidence_full,masked_reliability::audio,15,-0.0423121934065646,0.3123001933926087,0.24514701185583762,0.6,0.4,0.6
task_confidence_full,masked_reliability::location,15,0.11603676171864312,0.8026721421903308,0.6834583241906309,0.5333333333333333,0.4666666666666667,0.5333333333333333
task_confidence_full,masked_reliability::phone_acc,15,-0.024122236242232406,0.14680144512481477,0.1257461761615285,0.4666666666666667,0.5333333333333333,0.5333333333333333
task_confidence_full,masked_reliability::phone_gyro,15,-0.1312984712252391,0.8509320122434362,0.4820794050916165,0.5333333333333333,0.4666666666666667,0.5333333333333333
task_confidence_full,masked_reliability::phone_state,15,0.003234573303098302,0.09978556961759924,0.06923213871979438,0.5333333333333333,0.4666666666666667,0.5333333333333333
task_confidence_full,masked_reliability::watch_acc,15,-0.18869116952968623,2.165740206516813,1.502846409698315,0.4,0.6,0.6
task_confidence_full,system_reliability,15,0.06674156292434534,0.1855559621195871,0.15470357501668483,0.6,0.4,0.6
task_confidence_output_only,label_certainty::BICYCLING,15,0.09451874425898502,0.2773338751933508,0.21087675991714866,0.6666666666666666,0.3333333333333333,0.6666666666666666
task_confidence_output_only,label_certainty::COMPUTER_WORK,15,-0.19835999323159192,0.28219815162194534,0.29413662132900126,0.26666666666666666,0.7333333333333333,0.7333333333333333
